"id";"title";"title_pt";"image";"color"
1;"Health Care and Welfare Services";"Saúde e Bem-Estar";"saude.png";"#AA5922"
2;"Social Services";"Serviços Sociais";"social.png";"#CC7176"
3;"Financial Services";"Finanças";"financas.png";"#859971"
4;"Culture, Informal Education and Entertainment";"Cultura";"cultura.png";"#411600"
5;"Security Services";"Segurança";"seguranca.png";"#99332B"
6;"Local Authority Services";"Serviços Autárquicos";"autarquicos.png";"#5E879E"
7;"Transport Services";"Transportes";"transportes.png";"#105432"
